#Tibet-Lhasa DateTime;(deg C) Min Temperature (MERRA2) at 29.6621N,-91.1359W, 2008-01-01 to 2019-12-31
2008-04-27;-2.8344
2008-04-28;-1.4818
2008-04-29;-2.2376
2008-04-30;-1.9027
2008-05-01;0.5766
2008-05-02;-0.1695
2008-05-03;-1.4543
2008-05-04;-0.0418
2008-05-05;-1.7955
2008-05-06;-0.1699
2008-05-07;-0.2025
2008-05-08;0.3342
2008-05-09;-1.8716
2008-05-10;-0.7296
2008-05-11;0.2361
2008-05-12;0.1576
2008-05-13;0.8364
2008-05-14;1.2132
2008-05-15;0.8348
2008-05-16;1.2539
2008-05-17;0.014
2008-05-18;0.4726
2008-05-19;-0.4441
2008-05-20;0.9463
2008-05-21;0.4238
2008-05-22;-0.9349
2008-05-23;1.4352
2008-05-24;2.2442
2008-05-25;1.1432
2008-05-26;1.9215
2008-05-27;0.7907
2008-05-28;0.4144
2008-05-29;2.2751
2008-05-30;0.0193
2008-05-31;0.2393
2008-06-01;-0.0929
2008-06-02;1.5056
2008-06-03;2.033
2008-06-04;2.9593
2008-06-05;1.1719
2008-06-06;1.5915
2008-06-07;2.8762
2008-06-08;3.2974
2008-06-09;1.4537
2008-06-10;2.7162
2008-06-11;4.791
2008-06-12;5.098
2008-06-13;4.4293
2008-06-14;2.4549
2008-06-15;4.939
2008-06-16;3.7576
2008-06-17;4.3692
2008-06-18;3.8121
2008-06-19;5.3038
2008-06-20;5.2738
2008-06-21;5.0276
2008-06-22;5.6265
2008-06-23;2.1746
2008-06-24;4.6106
2008-06-25;0.567
2008-06-26;1.4156
2008-06-27;2.3658
2008-06-28;2.9896
2008-06-29;4.1753
2008-06-30;4.6685
2008-07-01;5.8564
2008-07-02;1.692
2008-07-03;2.4545
2008-07-04;0.2747
2008-07-05;1.5581
2008-07-06;2.7022
2008-07-07;2.667
2008-07-08;2.3979
2008-07-09;4.3424
2008-07-10;5.0431
2008-07-11;5.3252
2008-07-12;2.6088
2008-07-13;4.9015
2008-07-14;3.5152
2008-07-15;3.7329
2008-07-16;2.9868
2008-07-17;4.1894
2008-07-18;3.7094
2008-07-19;3.6797
2008-07-20;1.7915
2008-07-21;3.82
2008-07-22;4.1366
2008-07-23;4.3314
2008-07-24;5.3294
2008-07-25;2.0398
2008-07-26;3.1106
2008-07-27;4.2661
2008-07-28;6.3617
2008-07-29;6.0388
2008-07-30;4.7885
2008-07-31;1.3144
2008-08-01;3.0936
2008-08-02;3.5791
2008-08-03;3.6355
2008-08-04;1.6355
2008-08-05;2.7044
2008-08-06;3.4635
2008-08-07;2.8415
2008-08-08;1.3392
2008-08-09;2.1051
2008-08-10;2.9043
2008-08-11;3.0568
2008-08-12;3.132
2008-08-13;3.3181
2008-08-14;1.4925
2008-08-15;1.951
2008-08-16;4.5854
2008-08-17;1.5126
2008-08-18;1.5979
2008-08-19;1.903
2008-08-20;4.4671
2008-08-21;4.5208
2008-08-22;3.9871
2008-08-23;4.2046
2008-08-24;2.6185
2008-08-25;2.9754
2008-08-26;4.816
2008-08-27;4.0487
2008-08-28;4.6544
2008-08-29;1.5459
2008-08-30;1.7104
2008-08-31;1.2031
2008-09-01;2.8575
2008-09-02;0.8108
2008-09-03;-0.1286
2008-09-04;-0.7445
2008-09-05;0.4321
2008-09-06;0.2696
2008-09-07;0.7217
2008-09-08;1.1282
2008-09-09;2.0782
2008-09-10;0.387
2008-09-11;0.5856
2008-09-12;2.1941
2008-09-13;0.2621
2008-09-14;0.6566
2008-09-15;1.2141
2008-09-16;0.6731
2008-09-17;0.9681
2008-09-18;0.9114
2008-09-19;1.7692
2008-09-20;1.1402
2008-09-21;0.6178
2008-09-22;0.3297
2008-09-23;1.0419
2008-09-24;0.6281
2008-09-25;0.465
2008-09-26;0.4545
2008-09-27;1.2985
2008-09-28;0.2182
2008-09-29;0.3765
2008-09-30;-0.9516
2008-10-01;-0.2062
2008-10-02;-1.5973
2008-10-03;-3.7357
2008-10-04;-3.2412
2008-10-05;-2.8774
2008-10-06;-2.8045
2008-10-07;-1.7289
2008-10-08;-2.5716
2008-10-09;-2.1363
2008-10-10;-1.9659
2008-10-11;-3.5025
2008-10-12;-5.119
2008-10-13;-4.4855
2008-10-14;-4.363
2008-10-15;-4.6619
2008-10-16;-4.2154
2008-10-17;-3.3146
2008-10-18;-5.4017
2008-10-19;-5.1789
2008-10-20;-5.1924
2008-10-21;-4.8977
2008-10-22;-6.1706
2008-10-23;-6.0475
2008-10-24;-5.9293
2008-10-25;-6.4379
2008-10-26;-6.3362
2008-10-27;-5.1285
2008-10-28;-7.8669
2008-10-29;-7.6747
2008-10-30;-5.1787
2008-10-31;-6.8843
2008-11-01;-7.0647
2008-11-02;-6.8658
2008-11-03;-4.6577
2008-11-04;-5.1465
2008-11-05;-11.0323
2008-11-06;-11.0459
2008-11-07;-7.7659
2008-11-08;-6.5382
2008-11-09;-5.7827
2008-11-10;-3.5124
2008-11-11;-3.3803
2008-11-12;-4.0852
2008-11-13;-6.9663
2008-11-14;-7.0797
2008-11-15;-6.9615
2008-11-16;-5.9703
2008-11-17;-6.5791
2008-11-18;-6.0115
2008-11-19;-4.9412
2008-11-20;-8.5726
2008-11-21;-12.1018
2008-11-22;-13.1525
2008-11-23;-11.7591
2008-11-24;-10.935
2008-11-25;-11.8319
2008-11-26;-9.5045
2008-11-27;-10.5836
2008-11-28;-12.1802
2008-11-29;-12.5632
2008-11-30;-9.8995
2008-12-01;-10.0921
2008-12-02;-9.9104
2008-12-03;-10.9312
2008-12-04;-11.3211
2008-12-05;-10.8186
2008-12-06;-12.9891
2008-12-07;-14.776
2008-12-08;-15.0003
2008-12-09;-11.7449
2008-12-10;-12.1821
2008-12-11;-9.5608
2008-12-12;-9.8839
2008-12-13;-12.3662
2008-12-14;-13.8399
2008-12-15;-14.292
2008-12-16;-12.8088
2008-12-17;-12.4722
2008-12-18;-11.6889
2008-12-19;-11.3613
2008-12-20;-7.4943
2008-12-21;-5.9505
2008-12-22;-11.6537
2008-12-23;-12.7202
2008-12-24;-13.2326
2008-12-25;-14.1335
2008-12-26;-15.0854
2008-12-27;-15.9106
2008-12-28;-14.9102
2008-12-29;-16.0245
2008-12-30;-15.8841
2008-12-31;-12.6433
2009-01-01;-14.7822
2009-01-02;-15.3938
2009-01-03;-15.2049
2009-01-04;-11.9459
2009-01-05;-12.6361
2009-01-06;-13.8725
2009-01-07;-14.1169
2009-01-08;-14.3528
2009-01-09;-14.4445
2009-01-10;-14.5554
2009-01-11;-16.0034
2009-01-12;-16.2991
2009-01-13;-14.2805
2009-01-14;-15.0299
2009-01-15;-11.9201
2009-01-16;-12.7413
2009-01-17;-10.0799
2009-01-18;-10.339
2009-01-19;-10.5421
2009-01-20;-14.3585
2009-01-21;-15.1187
2009-01-22;-11.1724
2009-01-23;-9.2972
2009-01-24;-9.0621
2009-01-25;-8.5909
2009-01-26;-8.9101
2009-01-27;-10.877
2009-01-28;-12.5082
2009-01-29;-13.0053
2009-01-30;-10.843
2009-01-31;-10.7002
2009-02-01;-11.9535
2009-02-02;-13.6471
2009-02-03;-14.3742
2009-02-04;-11.8261
2009-02-05;-11.4652
2009-02-06;-8.3633
2009-02-07;-12.8948
2009-02-08;-13.1164
2009-02-09;-13.4614
2009-02-10;-11.0418
2009-02-11;-11.9262
2009-02-12;-11.9612
2009-02-13;-9.6639
2009-02-14;-9.3043
2009-02-15;-9.794
2009-02-16;-9.3538
2009-02-17;-8.7359
2009-02-18;-9.5498
2009-02-19;-9.6262
2009-02-20;-10.3488
2009-02-21;-10.611
2009-02-22;-10.9845
2009-02-23;-10.2329
2009-02-24;-8.8189
2009-02-25;-9.7993
2009-02-26;-10.3305
2009-02-27;-12.2893
2009-02-28;-13.7882
2009-03-01;-13.8195
2009-03-02;-10.4308
2009-03-03;-10.5141
2009-03-04;-7.3655
2009-03-05;-7.5593
2009-03-06;-7.5021
2009-03-07;-6.9318
2009-03-08;-6.8911
2009-03-09;-7.4739
2009-03-10;-8.7232
2009-03-11;-11.917
2009-03-12;-15.9677
2009-03-13;-15.6378
2009-03-14;-7.7793
2009-03-15;-6.528
2009-03-16;-6.2375
2009-03-17;-6.0378
2009-03-18;-5.274
2009-03-19;-6.0412
2009-03-20;-5.5429
2009-03-21;-6.8058
2009-03-22;-5.4846
2009-03-23;-4.3112
2009-03-24;-5.0128
2009-03-25;-5.206
2009-03-26;-7.0997
2009-03-27;-5.8634
2009-03-28;-4.8577
2009-03-29;-5.297
2009-03-30;-4.2456
2009-03-31;-6.1077
2009-04-01;-5.9875
2009-04-02;-4.4242
2009-04-03;-4.5537
2009-04-04;-4.1645
2009-04-05;-4.4319
2009-04-06;-3.6794
2009-04-07;-4.1258
2009-04-08;-5.17
2009-04-09;-6.5776
2009-04-10;-4.1723
2009-04-11;-4.3117
2009-04-12;-3.9546
2009-04-13;-2.8449
2009-04-14;-2.1095
2009-04-15;-2.9146
2009-04-16;-4.5126
2009-04-17;-1.4498
2009-04-18;-3.3608
2009-04-19;-1.4486
2009-04-20;-0.8091
2009-04-21;-1.2056
2009-04-22;-3.1348
2009-04-23;-0.9888
2009-04-24;-0.86
2009-04-25;-2.4321
2009-04-26;-2.3034
2009-04-27;-2.4942
2009-04-28;-0.5136
2009-04-29;1.5321
2009-04-30;0.468
2009-05-01;-3.201
2009-05-02;-1.1186
2009-05-03;-1.853
2009-05-04;-1.491
2009-05-05;0.0674
2009-05-06;-1.1689
2009-05-07;-2.1843
2009-05-08;-1.4655
2009-05-09;-3.5626
2009-05-10;-0.5624
2009-05-11;-3.7172
2009-05-12;-3.2751
2009-05-13;-2.0783
2009-05-14;-3.5776
2009-05-15;-1.6818
2009-05-16;-2.6471
2009-05-17;-2.9461
2009-05-18;-3.4077
2009-05-19;-0.1377
2009-05-20;1.337
2009-05-21;2.3058
2009-05-22;1.5786
2009-05-23;1.4952
2009-05-24;2.5818
2009-05-25;1.6655
2009-05-26;2.2324
2009-05-27;0.0844
2009-05-28;-2.0397
2009-05-29;-0.4126
2009-05-30;0.2159
2009-05-31;0.8278
2009-06-01;-2.0117
2009-06-02;0.7343
2009-06-03;1.3805
2009-06-04;3.7077
2009-06-05;2.8181
2009-06-06;3.1527
2009-06-07;2.8775
2009-06-08;0.9753
2009-06-09;1.1142
2009-06-10;0.307
2009-06-11;1.7929
2009-06-12;2.5996
2009-06-13;3.472
2009-06-14;3.0232
2009-06-15;2.9343
2009-06-16;3.5475
2009-06-17;4.0088
2009-06-18;4.6524
2009-06-19;5.1246
2009-06-20;6.8133
2009-06-21;4.8852
2009-06-22;6.8458
2009-06-23;6.0066
2009-06-24;5.4565
2009-06-25;2.9334
2009-06-26;4.0299
2009-06-27;5.8682
2009-06-28;6.8322
2009-06-29;4.0672
2009-06-30;4.0767
2009-07-01;3.8456
2009-07-02;4.9869
2009-07-03;4.8163
2009-07-04;6.0707
2009-07-05;6.7473
2009-07-06;6.0546
2009-07-07;4.2814
2009-07-08;6.2272
2009-07-09;7.4084
2009-07-10;6.2422
2009-07-11;7.4314
2009-07-12;6.0653
2009-07-13;5.477
2009-07-14;4.8205
2009-07-15;6.012
2009-07-16;7.5231
2009-07-17;4.8067
2009-07-18;6.1861
2009-07-19;7.2926
2009-07-20;6.2848
2009-07-21;6.4217
2009-07-22;5.9226
2009-07-23;6.5221
2009-07-24;8.5623
2009-07-25;7.1396
2009-07-26;4.3118
2009-07-27;3.7978
2009-07-28;2.3368
2009-07-29;3.5804
2009-07-30;5.3857
2009-07-31;6.232
2009-08-01;5.977
2009-08-02;2.0159
2009-08-03;2.5986
2009-08-04;6.558
2009-08-05;5.9328
2009-08-06;1.9424
2009-08-07;3.2919
2009-08-08;5.5482
2009-08-09;5.5752
2009-08-10;2.1703
2009-08-11;4.3577
2009-08-12;2.2562
2009-08-13;3.2331
2009-08-14;3.8966
2009-08-15;1.8711
2009-08-16;3.4174
2009-08-17;3.4029
2009-08-18;3.6223
2009-08-19;3.9671
2009-08-20;2.4992
2009-08-21;2.2584
2009-08-22;1.814
2009-08-23;1.1803
2009-08-24;1.4692
2009-08-25;0.9314
2009-08-26;1.6245
2009-08-27;3.5884
2009-08-28;-1.6307
2009-08-29;0.3766
2009-08-30;1.2156
2009-08-31;3.4201
2009-09-01;3.8723
2009-09-02;2.6271
2009-09-03;2.8501
2009-09-04;0.2299
2009-09-05;1.6624
2009-09-06;1.3653
2009-09-07;2.2971
2009-09-08;1.8809
2009-09-09;2.5069
2009-09-10;3.4793
2009-09-11;1.8934
2009-09-12;1.9784
2009-09-13;2.4706
2009-09-14;1.7677
2009-09-15;1.5496
2009-09-16;2.8646
2009-09-17;2.3689
2009-09-18;1.4339
2009-09-19;-0.415
2009-09-20;0.114
2009-09-21;0.4476
2009-09-22;0.551
2009-09-23;1.4262
2009-09-24;1.0386
2009-09-25;-3.8158
2009-09-26;-3.2627
2009-09-27;-2.0015
2009-09-28;-1.6799
2009-09-29;-0.7551
2009-09-30;-0.0441
2009-10-01;-1.4873
2009-10-02;-0.8983
2009-10-03;-0.0464
2009-10-04;0.0807
2009-10-05;0.5759
2009-10-06;0.2658
2009-10-07;1.1395
2009-10-08;-0.6183
2009-10-09;-4.1391
2009-10-10;-4.3335
2009-10-11;-4.8034
2009-10-12;-4.3035
2009-10-13;-4.0221
2009-10-14;-4.363
2009-10-15;-4.894
2009-10-16;-4.7607
2009-10-17;-4.5901
2009-10-18;-5.1698
2009-10-19;-6.193
2009-10-20;-5.7502
2009-10-21;-4.1087
2009-10-22;-4.921
2009-10-23;-4.8677
2009-10-24;-3.055
2009-10-25;-4.1023
2009-10-26;-4.2133
2009-10-27;-4.8849
2009-10-28;-4.7948
2009-10-29;-3.8043
2009-10-30;-3.7759
2009-10-31;-3.9535
2009-11-01;-6.999
2009-11-02;-6.9545
2009-11-03;-6.8945
2009-11-04;-5.485
2009-11-05;-5.1216
2009-11-06;-5.0274
2009-11-07;-5.4468
2009-11-08;-5.7585
2009-11-09;-6.4777
2009-11-10;-6.511
2009-11-11;-5.6848
2009-11-12;-5.2589
2009-11-13;-1.7697
2009-11-14;-3.1236
2009-11-15;-4.1609
2009-11-16;-3.9098
2009-11-17;-7.7295
2009-11-18;-8.1374
2009-11-19;-12.6187
2009-11-20;-15.4739
2009-11-21;-16.0531
2009-11-22;-12.0937
2009-11-23;-10.6374
2009-11-24;-11.3188
2009-11-25;-6.6332
2009-11-26;-8.5115
2009-11-27;-9.5953
2009-11-28;-9.1618
2009-11-29;-6.8493
2009-11-30;-7.6708
2009-12-01;-9.3875
2009-12-02;-9.8939
2009-12-03;-8.9074
2009-12-04;-9.4028
2009-12-05;-9.2932
2009-12-06;-9.4267
2009-12-07;-11.6431
2009-12-08;-14.7467
2009-12-09;-15.3717
2009-12-10;-10.8445
2009-12-11;-8.7908
2009-12-12;-9.2499
2009-12-13;-10.141
2009-12-14;-12.4521
2009-12-15;-12.8876
2009-12-16;-11.3993
2009-12-17;-11.7979
2009-12-18;-12.4438
2009-12-19;-14.6958
2009-12-20;-15.0608
2009-12-21;-14.5283
2009-12-22;-14.7196
2009-12-23;-11.6566
2009-12-24;-13.1108
2009-12-25;-15.5065
2009-12-26;-16.7364
2009-12-27;-16.7303
2009-12-28;-15.6623
2009-12-29;-16.0397
2009-12-30;-12.5104
2009-12-31;-16.4018
2010-01-01;-17.2267
2010-01-02;-16.5278
2010-01-03;-12.6947
2010-01-04;-15.3676
2010-01-05;-15.8845
2010-01-06;-15.4621
2010-01-07;-15.9867
2010-01-08;-13.2094
2010-01-09;-13.9137
2010-01-10;-13.396
2010-01-11;-13.6833
2010-01-12;-12.4531
2010-01-13;-13.0877
2010-01-14;-14.7737
2010-01-15;-15.0853
2010-01-16;-12.5176
2010-01-17;-12.8271
2010-01-18;-13.2177
2010-01-19;-13.9572
2010-01-20;-14.058
2010-01-21;-14.1206
2010-01-22;-13.5621
2010-01-23;-13.7263
2010-01-24;-11.5325
2010-01-25;-12.1427
2010-01-26;-14.7616
2010-01-27;-14.8662
2010-01-28;-12.6264
2010-01-29;-11.6604
2010-01-30;-13.5556
2010-01-31;-13.9736
2010-02-01;-14.4379
2010-02-02;-15.0759
2010-02-03;-15.3618
2010-02-04;-14.2629
2010-02-05;-15.7474
2010-02-06;-16.0392
2010-02-07;-12.0156
2010-02-08;-10.0555
2010-02-09;-12.4277
2010-02-10;-12.8584
2010-02-11;-11.9653
2010-02-12;-10.6824
2010-02-13;-11.5134
2010-02-14;-13.8249
2010-02-15;-14.0659
2010-02-16;-13.7296
2010-02-17;-12.2134
2010-02-18;-13.2451
2010-02-19;-13.4225
2010-02-20;-13.9577
2010-02-21;-14.17
2010-02-22;-8.5076
2010-02-23;-6.0275
2010-02-24;-6.8948
2010-02-25;-7.5252
2010-02-26;-7.4777
2010-02-27;-9.1352
2010-02-28;-9.03
2010-03-01;-6.3974
2010-03-02;-7.8321
2010-03-03;-7.818
2010-03-04;-7.5176
2010-03-05;-7.9257
2010-03-06;-7.8872
2010-03-07;-7.529
2010-03-08;-7.6172
2010-03-09;-8.5028
2010-03-10;-7.6629
2010-03-11;-5.2615
2010-03-12;-6.4657
2010-03-13;-5.4934
2010-03-14;-5.2949
2010-03-15;-7.6303
2010-03-16;-6.5728
2010-03-17;-5.5937
2010-03-18;-4.4906
2010-03-19;-3.9983
2010-03-20;-3.0189
2010-03-21;-3.7436
2010-03-22;-3.2471
2010-03-23;-2.3555
2010-03-24;-4.5545
2010-03-25;-4.8029
2010-03-26;-4.6784
2010-03-27;-3.1621
2010-03-28;-4.8697
2010-03-29;-4.1383
2010-03-30;-6.6991
2010-03-31;-5.2696
2010-04-01;-7.0335
2010-04-02;-6.9664
2010-04-03;-5.1847
2010-04-04;-5.6565
2010-04-05;-5.0644
2010-04-06;-6.5247
2010-04-07;-4.4516
2010-04-08;-2.815
2010-04-09;-1.4339
2010-04-10;-3.1098
2010-04-11;-1.5696
2010-04-12;-4.1639
2010-04-13;-2.2079
2010-04-14;-2.6715
2010-04-15;-2.5507
2010-04-16;-1.7716
2010-04-17;-2.6792
2010-04-18;-0.7905
2010-04-19;0.5461
2010-04-20;-1.3443
2010-04-21;-1.2887
2010-04-22;-2.5981
2010-04-23;-3.3965
2010-04-24;-2.8973
2010-04-25;-4.7744
2010-04-26;-3.4509
2010-04-27;-3.8097
2010-04-28;-1.9983
2010-04-29;0.1109
2010-04-30;-0.3005
2010-05-01;0.9448
2010-05-02;0.1271
2010-05-03;-0.3931
2010-05-04;1.9683
2010-05-05;-0.6042
2010-05-06;0.4495
2010-05-07;0.6695
2010-05-08;-1.574
2010-05-09;-0.5988
2010-05-10;0.8303
2010-05-11;-0.4191
2010-05-12;0.5442
2010-05-13;-2.3182
2010-05-14;-2.4758
2010-05-15;-0.0514
2010-05-16;-0.5398
2010-05-17;-0.6438
2010-05-18;2.6246
2010-05-19;0.5875
2010-05-20;0.0527
2010-05-21;-2.0917
2010-05-22;0.9622
2010-05-23;0.386
2010-05-24;0.124
2010-05-25;1.0008
2010-05-26;0.6324
2010-05-27;1.4625
2010-05-28;1.1689
2010-05-29;1.8367
2010-05-30;0.8768
2010-05-31;2.4589
2010-06-01;0.2952
2010-06-02;0.9562
2010-06-03;0.7405
2010-06-04;1.3911
2010-06-05;2.1624
2010-06-06;1.6124
2010-06-07;2.6214
2010-06-08;3.1283
2010-06-09;2.188
2010-06-10;1.4962
2010-06-11;0.7901
2010-06-12;1.6449
2010-06-13;3.0308
2010-06-14;2.8156
2010-06-15;5.9428
2010-06-16;5.2834
2010-06-17;5.7407
2010-06-18;5.5286
2010-06-19;5.3886
2010-06-20;2.8926
2010-06-21;3.2697
2010-06-22;5.568
2010-06-23;5.3973
2010-06-24;2.8471
2010-06-25;6.2301
2010-06-26;6.5445
2010-06-27;4.8474
2010-06-28;6.3643
2010-06-29;4.7945
2010-06-30;5.0078
2010-07-01;4.7314
2010-07-02;6.4381
2010-07-03;6.9821
2010-07-04;6.6982
2010-07-05;7.531
2010-07-06;7.7595
2010-07-07;6.3281
2010-07-08;5.7563
2010-07-09;2.9377
2010-07-10;4.0106
2010-07-11;4.4564
2010-07-12;5.9969
2010-07-13;7.1548
2010-07-14;6.3541
2010-07-15;5.1931
2010-07-16;6.4095
2010-07-17;4.1384
2010-07-18;5.3025
2010-07-19;4.1866
2010-07-20;2.4663
2010-07-21;3.3111
2010-07-22;6.9788
2010-07-23;6.287
2010-07-24;6.2504
2010-07-25;5.5059
2010-07-26;4.159
2010-07-27;5.6112
2010-07-28;3.6219
2010-07-29;5.2121
2010-07-30;4.5037
2010-07-31;6.244
2010-08-01;7.5132
2010-08-02;2.1941
2010-08-03;1.7483
2010-08-04;1.5388
2010-08-05;3.8442
2010-08-06;6.6316
2010-08-07;5.8744
2010-08-08;5.9547
2010-08-09;6.2674
2010-08-10;6.6577
2010-08-11;5.6694
2010-08-12;5.2044
2010-08-13;5.6158
2010-08-14;2.2371
2010-08-15;5.8454
2010-08-16;7.0973
2010-08-17;4.7146
2010-08-18;5.1662
2010-08-19;2.3716
2010-08-20;1.9947
2010-08-21;3.6422
2010-08-22;3.4375
2010-08-23;1.1353
2010-08-24;2.3322
2010-08-25;4.524
2010-08-26;5.4095
2010-08-27;2.6789
2010-08-28;4.4469
2010-08-29;5.0805
2010-08-30;4.7981
2010-08-31;4.6393
2010-09-01;4.0703
2010-09-02;4.6371
2010-09-03;4.019
2010-09-04;1.0352
2010-09-05;0.6526
2010-09-06;2.3708
2010-09-07;2.7052
2010-09-08;2.073
2010-09-09;1.0735
2010-09-10;0.6636
2010-09-11;1.6978
2010-09-12;1.5131
2010-09-13;2.3304
2010-09-14;2.3126
2010-09-15;1.8595
2010-09-16;1.9103
2010-09-17;3.2943
2010-09-18;2.6064
2010-09-19;1.2151
2010-09-20;1.0854
2010-09-21;0.8747
2010-09-22;-1.0354
2010-09-23;-1.4671
2010-09-24;0.251
2010-09-25;-0.6487
2010-09-26;-1.5061
2010-09-27;-1.5269
2010-09-28;-0.7991
2010-09-29;-1.1637
2010-09-30;-0.8553
2010-10-01;-0.7521
2010-10-02;-0.9375
2010-10-03;-1.9681
2010-10-04;-1.4576
2010-10-05;-3.409
2010-10-06;-2.8334
2010-10-07;-2.2167
2010-10-08;-1.6753
2010-10-09;-1.3108
2010-10-10;-2.4832
2010-10-11;-3.3268
2010-10-12;-5.262
2010-10-13;-4.7779
2010-10-14;-2.9254
2010-10-15;-2.2244
2010-10-16;-0.9365
2010-10-17;-2.6544
2010-10-18;-3.5172
2010-10-19;-3.5613
2010-10-20;-2.9427
2010-10-21;-3.7954
2010-10-22;-4.5322
2010-10-23;-4.9945
2010-10-24;-5.911
2010-10-25;-5.4868
2010-10-26;-4.9353
2010-10-27;-5.6275
2010-10-28;-5.5476
2010-10-29;-5.0475
2010-10-30;-4.5776
2010-10-31;-4.0145
2010-11-01;-5.1282
2010-11-02;-5.1809
2010-11-03;-7.3012
2010-11-04;-7.4872
2010-11-05;-6.06
2010-11-06;-3.9948
2010-11-07;-5.3941
2010-11-08;-6.2356
2010-11-09;-6.3872
2010-11-10;-6.9789
2010-11-11;-6.9038
2010-11-12;-4.8942
2010-11-13;-5.267
2010-11-14;-6.5348
2010-11-15;-6.7677
2010-11-16;-6.2297
2010-11-17;-6.3404
2010-11-18;-6.7992
2010-11-19;-5.4682
2010-11-20;-7.7591
2010-11-21;-8.238
2010-11-22;-8.4808
2010-11-23;-6.1841
2010-11-24;-6.7694
2010-11-25;-4.7032
2010-11-26;-5.1545
2010-11-27;-5.0666
2010-11-28;-7.5866
2010-11-29;-13.0145
2010-11-30;-14.8991
2010-12-01;-15.462
2010-12-02;-11.4084
2010-12-03;-11.545
2010-12-04;-10.7322
2010-12-05;-10.5986
2010-12-06;-11.5231
2010-12-07;-12.0452
2010-12-08;-8.7141
2010-12-09;-8.9299
2010-12-10;-9.885
2010-12-11;-15.1736
2010-12-12;-15.8662
2010-12-13;-16.226
2010-12-14;-15.5749
2010-12-15;-16.7457
2010-12-16;-17.0958
2010-12-17;-14.1748
2010-12-18;-15.6407
2010-12-19;-17.938
2010-12-20;-18.5383
2010-12-21;-13.751
2010-12-22;-13.106
2010-12-23;-13.8442
2010-12-24;-18.5469
2010-12-25;-18.9564
2010-12-26;-16.6087
2010-12-27;-12.6844
2010-12-28;-12.3993
2010-12-29;-12.9836
2010-12-30;-10.4369
2010-12-31;-12.5364
2011-01-01;-16.6502
2011-01-02;-17.1675
2011-01-03;-15.3824
2011-01-04;-15.3147
2011-01-05;-14.1526
2011-01-06;-14.2387
2011-01-07;-14.1255
2011-01-08;-15.759
2011-01-09;-16.0321
